Wall time,Step,Value
1485535252.6297944,7,0.6938968896865845
1485535257.3063536,20,0.6935693025588989
1485535259.1626794,26,0.6924801468849182
1485535264.2868307,42,0.6938124299049377
1485535264.922683,44,0.6857327818870544
1485535266.0596263,47,0.6711894869804382
1485535269.0492556,55,0.6762819290161133
1485535270.3419964,58,0.6783648729324341
1485535277.3391333,73,0.6763742566108704
1485535278.5917234,76,0.585250973701477
1485535286.2989717,96,0.6686800718307495
1485535289.3762183,104,0.5627928972244263
1485535291.0173545,108,0.6057775020599365
1485535299.7935042,128,0.4628152847290039
1485535305.5127537,141,0.422423779964447
1485535309.6980066,152,0.6781879663467407
1485535311.629899,157,0.5197417736053467
1485535312.5462635,160,0.4266054034233093
1485535315.6842804,169,0.3952997326850891
1485535320.1697185,180,0.28880834579467773
1485535321.923007,185,0.5018292665481567
1485535322.586693,187,0.7601709961891174
1485535322.923729,188,0.49364665150642395
1485535324.3547306,192,0.39691591262817383
1485535327.291327,200,0.4094260334968567
1485535330.0943415,209,0.6035550832748413
1485535331.7127676,214,0.5069730281829834
1485535335.174243,225,0.47747042775154114
1485535337.3164937,231,0.43629688024520874
1485535339.0822258,236,0.39619189500808716
1485535343.682945,251,0.4980691075325012
1485535345.4934769,257,0.5017627477645874
1485535346.9817548,262,0.3583338260650635
1485535349.250667,269,0.2153269350528717
1485535350.4968429,273,0.34752264618873596
1485535351.1598802,275,0.4414274990558624
1485535357.3700979,294,0.2497009038925171
1485535358.8185763,299,0.4619387984275818
1485535360.6697917,305,0.4105425477027893
1485535362.1324036,310,0.2994767129421234
1485535362.7278337,312,0.37902021408081055
1485535365.0467596,320,0.40155932307243347
1485535368.6608455,332,0.36827176809310913
1485535371.3145359,341,0.2740902304649353
1485535373.620054,349,0.24849218130111694
1485535378.2853284,365,0.36570554971694946
1485535379.4427397,369,0.35611698031425476
1485535382.392888,379,0.6319631934165955
1485535396.5629406,423,0.3627060353755951
1485535396.8620143,424,0.40017813444137573
1485535401.8696108,441,0.4200798273086548
1485535402.4851282,443,0.49914175271987915
1485535402.843155,444,0.3953496217727661
1485535403.7595518,447,0.2528497278690338
1485535408.1434357,462,0.4321855902671814
1485535409.0043843,465,0.346015989780426
1485535409.2935412,466,0.3699704706668854
1485535412.226096,476,0.30193763971328735
1485535417.2125602,493,0.3077726364135742
1485535417.7954924,495,0.3956286907196045
1485535423.9346762,516,0.41480058431625366
1485535424.8082998,519,0.33715376257896423
1485535427.1320794,527,0.48731911182403564
1485535428.860942,533,0.6802939772605896
1485535429.4448364,535,0.4169643521308899
1485535430.315616,538,0.3762211501598358
1485535432.0698266,544,0.6328008770942688
1485535433.5140378,549,0.38319772481918335
1485535436.4535697,559,0.5678615570068359
1485535438.1920545,565,0.32987987995147705
1485535441.0891511,575,0.40630966424942017
1485535442.8456697,581,0.2913803458213806
1485535443.4308808,583,0.32215872406959534
1485535444.8796668,588,0.2664944529533386
1485535445.1605291,589,0.36725398898124695
1485535449.7361307,604,0.47936007380485535
1485535455.1797614,622,0.4243021011352539
1485535455.7497315,624,0.5135636329650879
1485535459.2381685,636,0.44279056787490845
1485535461.270413,643,0.4183787405490875
1485535461.5639718,644,0.3966417908668518
1485535462.1473124,646,0.338118314743042
1485535463.0892792,649,0.4545961022377014
1485535463.715274,651,0.3304102122783661
1485535467.223512,663,0.5083167552947998
1485535468.306468,666,0.35710495710372925
1485535469.5796654,670,0.4625600576400757
1485535470.5251594,673,0.3433936834335327
1485535471.4888692,676,0.3156716823577881
1485535472.690231,680,0.25407281517982483
1485535474.1791492,685,0.35276347398757935
1485535475.629205,690,0.41354066133499146
1485535492.0454712,716,0.322429895401001
1485535493.3396032,720,0.3022046387195587
1485535494.7128332,724,0.46699023246765137
1485535495.0070534,725,0.22758720815181732
1485535497.2248857,732,0.1697458177804947
1485535499.8676867,741,0.1390906572341919
1485535501.049664,745,0.2596369981765747
1485535502.189325,749,0.3237493336200714
1485535503.6588464,754,0.2851174473762512
1485535504.8130195,758,0.39370912313461304
1485535507.5865648,767,0.3204019367694855
1485535508.890466,771,0.3215772807598114
1485535509.1972277,772,0.31112027168273926
1485535509.492484,773,0.4701661765575409
1485535510.0726457,775,0.15179045498371124
1485535512.2570167,782,0.27485641837120056
1485535513.7250414,787,0.24848318099975586
1485535514.2952805,789,0.2953283190727234
1485535515.755516,794,0.42963990569114685
1485535516.3301156,796,0.37685954570770264
1485535517.4774988,800,0.15468093752861023
1485535518.6431317,804,0.2523256540298462
1485535520.4774616,810,0.49370038509368896
1485535520.7671683,811,0.19866998493671417
1485535527.642293,834,0.4002365469932556
1485535528.8174658,838,0.26136451959609985
1485535538.7805192,871,0.2634661793708801
1485535540.251469,876,0.2626919150352478
1485535540.8354862,878,0.39234286546707153
1485535542.8944829,884,0.816871702671051
1485535545.2349317,892,0.20804914832115173
1485535547.0044243,898,0.39056333899497986
1485535548.186047,902,0.3437041938304901
1485535550.4590745,909,0.2048422396183014
1485535551.0642145,911,0.3988131880760193
1485535552.8499875,917,0.2905969023704529
1485535553.4816487,919,0.2719539701938629
1485535557.749854,933,0.27272605895996094
1485535558.0527842,934,0.2205592542886734
1485535561.019233,944,0.31923002004623413
1485535561.893714,947,0.3404114842414856
1485535564.4970248,956,0.21589021384716034
1485535565.674511,960,0.2884635925292969
1485535566.815264,964,0.2475777417421341
1485535569.4296348,973,0.37031981348991394
1485535569.71466,974,0.42654842138290405
1485535571.4491045,980,0.3597908318042755
1485535571.7378833,981,0.3882344365119934
1485535573.1825316,986,0.2577510476112366
1485535576.6375945,998,0.3490269184112549
1485535578.3767903,1004,0.28859856724739075
1485535579.2593799,1007,0.346543550491333
1485535581.898933,1016,0.2985670268535614
1485535582.7613978,1019,0.27454477548599243
1485535585.0927932,1027,0.13314947485923767
1485535588.6506107,1039,0.13539323210716248
1485535590.9315403,1046,0.14782573282718658
1485535594.9844873,1059,0.26622676849365234
1485535596.8024662,1065,0.2745729684829712
1485535597.7071204,1068,0.4238560199737549
1485535598.3451724,1070,0.20677679777145386
1485535599.6318104,1074,0.3397250771522522
1485535600.8368156,1078,0.2732389271259308
1485535601.4567049,1080,0.43516114354133606
1485535602.9765098,1085,0.3440973162651062
1485535603.2858188,1086,0.3487256169319153
1485535606.0367668,1095,0.3141152262687683
1485535607.8708158,1101,0.401636004447937
1485535609.0690913,1105,0.1962530016899109
1485535609.3668087,1106,0.41063904762268066
1485535612.3593504,1116,0.2649589776992798
1485535613.8712316,1121,0.42791301012039185
1485535618.0847762,1135,0.07163423299789429
1485535625.0302193,1158,0.23389452695846558
1485535626.21841,1162,0.25289076566696167
1485535626.5254812,1163,0.29280322790145874
1485535626.8243623,1164,0.1761394590139389
1485535632.2172203,1182,0.46547290682792664
1485535635.8031359,1194,0.26625755429267883
1485535636.113944,1195,0.47364678978919983
1485535637.905088,1201,0.21983090043067932
1485535640.0129213,1208,0.1954919695854187
1485535647.7778356,1234,0.32118433713912964
1485535648.384821,1236,0.27210018038749695
1485535651.383462,1246,0.35705381631851196
1485535654.660443,1257,0.4791961908340454
1485535655.5456858,1260,0.11349694430828094
1485535656.4356863,1263,0.28314658999443054
1485535662.4003747,1283,0.3151562213897705
1485535664.2367513,1289,0.2193094789981842
1485535666.3403225,1296,0.26045873761177063
1485535668.2459803,1302,0.2772426903247833
1485535671.2449608,1312,0.3628358244895935
1485535673.0395675,1318,0.3212778568267822
1485535673.9837432,1321,0.3939211964607239
1485535677.3313787,1332,0.2577053904533386
1485535678.2306798,1335,0.3482586145401001
1485535679.1197383,1338,0.2036144882440567
1485535679.4251678,1339,0.3037493824958801
1485535684.9587002,1357,0.21945315599441528
1485535693.901227,1387,0.37511929869651794
1485535694.7819197,1390,0.13567441701889038
1485535695.670105,1393,0.16860415041446686
1485535695.971607,1394,0.32208049297332764
1485535710.0718682,1416,0.08539539575576782
1485535713.8429303,1428,0.4400624632835388
1485535714.448575,1430,0.13857074081897736
1485535715.6811678,1434,0.3189702033996582
1485535716.8939428,1438,0.28517645597457886
1485535718.0750434,1442,0.1683967411518097
1485535725.562228,1467,0.35329797863960266
1485535725.8729234,1468,0.14983628690242767
1485535729.1307921,1479,0.1516624391078949
1485535731.5248995,1487,0.14384040236473083
1485535732.750339,1491,0.21542996168136597
1485535733.3518944,1493,0.3477437198162079
1485535736.4726515,1503,0.2682214379310608
1485535738.588169,1510,0.19540166854858398
1485535743.1948404,1525,0.22295382618904114
1485535744.4028573,1529,0.1812441349029541
1485535751.698558,1553,0.3419727385044098
1485535751.9940743,1554,0.18655355274677277
1485535756.8045073,1570,0.3222687840461731
1485535757.112763,1571,0.20216846466064453
1485535759.8323877,1580,0.2434186339378357
1485535761.6214733,1586,0.14842523634433746
1485535762.818237,1590,0.2057352364063263
1485535765.5159514,1599,0.17765671014785767
1485535767.5996256,1606,0.11930479109287262
1485535767.8912826,1607,0.5714597702026367
1485535771.7291088,1620,0.22854086756706238
1485535774.4637668,1629,0.2664799988269806
1485535775.9789507,1634,0.19901816546916962
1485535777.4640296,1639,0.22927287220954895
1485535778.3577893,1642,0.30127444863319397
1485535779.8507786,1647,0.22225980460643768
1485535780.7422822,1650,0.27970147132873535
1485535781.9490154,1654,0.1496497392654419
1485535784.3302493,1662,0.2184344232082367
1485535786.7350128,1670,0.1964924931526184
1485535788.8529792,1677,0.14259012043476105
1485535790.955988,1684,0.23789675533771515
1485535793.6824577,1693,0.15700823068618774
1485535794.893362,1697,0.10914945602416992
1485535795.199331,1698,0.24384860694408417
1485535795.5022974,1699,0.22943851351737976
