Wall time,Step,Value
1485535581.898933,1016,0.84375
1485535582.7613978,1019,0.90625
1485535585.0927932,1027,0.96875
1485535588.6506107,1039,0.96875
1485535590.9315403,1046,0.9375
1485535594.9844873,1059,0.90625
1485535596.8024662,1065,0.875
1485535597.7071204,1068,0.84375
1485535598.3451724,1070,0.9375
1485535599.6318104,1074,0.8125
1485535600.8368156,1078,0.875
1485535601.4567049,1080,0.8125
1485535602.9765098,1085,0.875
1485535603.2858188,1086,0.875
1485535606.0367668,1095,0.875
1485535607.8708158,1101,0.84375
1485535609.0690913,1105,0.9375
1485535609.3668087,1106,0.78125
1485535612.3593504,1116,0.9375
1485535613.8712316,1121,0.8125
1485535618.0847762,1135,1.0
1485535625.0302193,1158,0.875
1485535626.21841,1162,0.875
1485535626.5254812,1163,0.875
1485535626.8243623,1164,0.90625
1485535632.2172203,1182,0.8125
1485535635.8031359,1194,0.875
1485535636.113944,1195,0.71875
1485535637.905088,1201,0.9375
1485535640.0129213,1208,0.9375
1485535647.7778356,1234,0.84375
1485535648.384821,1236,0.9375
1485535651.383462,1246,0.8125
1485535654.660443,1257,0.78125
1485535655.5456858,1260,0.96875
1485535656.4356863,1263,0.78125
1485535662.4003747,1283,0.875
1485535664.2367513,1289,0.90625
1485535666.3403225,1296,0.90625
1485535668.2459803,1302,0.8125
1485535671.2449608,1312,0.84375
1485535673.0395675,1318,0.84375
1485535673.9837432,1321,0.84375
1485535677.3313787,1332,0.90625
1485535678.2306798,1335,0.8125
1485535679.1197383,1338,0.90625
1485535679.4251678,1339,0.84375
1485535684.9587002,1357,0.9375
1485535693.901227,1387,0.84375
1485535694.7819197,1390,0.96875
1485535695.670105,1393,0.9375
1485535695.971607,1394,0.8125
1485535710.0718682,1416,0.96875
1485535713.8429303,1428,0.875
1485535714.448575,1430,0.96875
1485535715.6811678,1434,0.9375
1485535716.8939428,1438,0.875
1485535718.0750434,1442,0.96875
1485535725.562228,1467,0.9375
1485535725.8729234,1468,0.96875
1485535729.1307921,1479,0.9375
1485535731.5248995,1487,0.9375
1485535732.750339,1491,0.9375
1485535733.3518944,1493,0.875
1485535736.4726515,1503,0.875
1485535738.588169,1510,0.90625
1485535743.1948404,1525,0.90625
1485535744.4028573,1529,0.875
1485535751.698558,1553,0.875
1485535751.9940743,1554,0.9375
1485535756.8045073,1570,0.84375
1485535757.112763,1571,0.9375
1485535759.8323877,1580,0.90625
1485535761.6214733,1586,0.96875
1485535762.818237,1590,0.90625
1485535765.5159514,1599,0.9375
1485535767.5996256,1606,0.9375
1485535767.8912826,1607,0.78125
1485535771.7291088,1620,0.875
1485535774.4637668,1629,0.875
1485535775.9789507,1634,0.90625
1485535777.4640296,1639,0.9375
1485535778.3577893,1642,0.90625
1485535779.8507786,1647,0.875
1485535780.7422822,1650,0.84375
1485535781.9490154,1654,0.90625
1485535784.3302493,1662,0.90625
1485535786.7350128,1670,0.90625
1485535788.8529792,1677,0.96875
1485535790.955988,1684,0.90625
1485535793.6824577,1693,0.96875
1485535794.893362,1697,1.0
1485535795.199331,1698,0.90625
1485535795.5022974,1699,0.90625
