Wall time,Step,Value
1485535252.6297944,7,0.5157676339149475
1485535257.3063536,20,0.49104318022727966
1485535259.1626794,26,0.4740637242794037
1485535264.2868307,42,0.5553416609764099
1485535264.922683,44,0.5718790292739868
1485535266.0596263,47,0.5656934976577759
1485535269.0492556,55,0.595025360584259
1485535270.3419964,58,0.5974102020263672
1485535277.3391333,73,0.6848195791244507
1485535278.5917234,76,0.6707454919815063
1485535286.2989717,96,0.7241894602775574
1485535289.3762183,104,0.7178023457527161
1485535291.0173545,108,0.7209407687187195
1485535299.7935042,128,0.7581145763397217
1485535305.5127537,141,0.7751891613006592
1485535309.6980066,152,0.7903253436088562
1485535311.629899,157,0.7504388689994812
1485535312.5462635,160,0.7487261891365051
1485535315.6842804,169,0.7851589918136597
1485535320.1697185,180,0.8038122057914734
1485535321.923007,185,0.7988173961639404
1485535322.586693,187,0.7929795980453491
1485535322.923729,188,0.7668066024780273
1485535324.3547306,192,0.7491830587387085
1485535327.291327,200,0.7566021084785461
1485535330.0943415,209,0.7688826322555542
1485535331.7127676,214,0.7596458792686462
1485535335.174243,225,0.8122782707214355
1485535337.3164937,231,0.7911534309387207
1485535339.0822258,236,0.8046603798866272
1485535343.682945,251,0.7635741829872131
1485535345.4934769,257,0.7756445407867432
1485535346.9817548,262,0.7754247188568115
1485535349.250667,269,0.7588631510734558
1485535350.4968429,273,0.8033589124679565
1485535351.1598802,275,0.8107207417488098
1485535357.3700979,294,0.8192455172538757
1485535358.8185763,299,0.8147119283676147
1485535360.6697917,305,0.8118499517440796
1485535362.1324036,310,0.818053662776947
1485535362.7278337,312,0.8348109722137451
1485535365.0467596,320,0.8190829157829285
1485535368.6608455,332,0.7941632270812988
1485535371.3145359,341,0.7952960729598999
1485535373.620054,349,0.8207605481147766
1485535378.2853284,365,0.843202531337738
1485535379.4427397,369,0.8453876972198486
1485535382.392888,379,0.8248394131660461
1485535396.5629406,423,0.802923858165741
1485535396.8620143,424,0.8070064783096313
1485535401.8696108,441,0.8072620034217834
1485535402.4851282,443,0.7929447293281555
1485535402.843155,444,0.7855252623558044
1485535403.7595518,447,0.79852294921875
1485535408.1434357,462,0.8234760761260986
1485535409.0043843,465,0.8123764991760254
1485535409.2935412,466,0.8186388611793518
1485535412.226096,476,0.8232764601707458
1485535417.2125602,493,0.8341071009635925
1485535417.7954924,495,0.8446892499923706
1485535423.9346762,516,0.7646709084510803
1485535424.8082998,519,0.7522575855255127
1485535427.1320794,527,0.8059560656547546
1485535428.860942,533,0.810067892074585
1485535429.4448364,535,0.8027174472808838
1485535430.315616,538,0.8050872087478638
1485535432.0698266,544,0.8188720941543579
1485535433.5140378,549,0.8029114007949829
1485535436.4535697,559,0.8245945572853088
1485535438.1920545,565,0.7958039045333862
1485535441.0891511,575,0.8274059891700745
1485535442.8456697,581,0.8395694494247437
1485535443.4308808,583,0.8403637409210205
1485535444.8796668,588,0.820716381072998
1485535445.1605291,589,0.8261447548866272
1485535449.7361307,604,0.857750654220581
1485535455.1797614,622,0.7985092997550964
1485535455.7497315,624,0.7889800667762756
1485535459.2381685,636,0.8083831667900085
